subID,duration_of_look,object_attended,overlapping_pbehaviors,prop_of_look_inSmiling
3213,5.439,1,5,0.409183316
3213,5.8,3,5,0.470011546
3213,6.48,2,5,0.525494898
3213,6.94,3,5,0.536294466
3213,7.44,3,5,0.399819806
3213,11.25,3,5,0.540733307
3213,13.51,2,5,0.37108481
3213,16.42,2,5,0.395771815
3214,0.5,1,2,0.746928863
3214,0.6,2,4,0.732420698
3214,0.64,2,2,0.553935534
3214,0.701,2,4,0.420883512
3214,0.8,2,3,0.384887994
3214,0.93,1,1,0.710432926
3214,1.03,2,3,0.512964096
3214,1.34,3,5,0.484165411
3214,1.435,2,1,0.446464595
3214,1.534,3,4,0.503969033
3214,1.67,2,5,0.258770826
3214,1.701,1,5,0.239145156
3214,1.97,1,5,0.358012271
3214,2.1,2,4,0.504409026
3214,2.303,2,5,0.29475091
3214,2.402,1,5,0.317388873
3214,2.93,2,5,0.423546485
3214,3.103,2,4,0.373854229
3214,3.17,3,5,0.570060179
3214,3.2,2,4,0.447486168
3214,4.1,1,5,0.493273957
3214,4.33,2,3,0.243201664
3214,4.84,2,5,0.48558392
3214,4.905,3,5,0.337974033
3214,4.93,3,5,0.57511779
3214,5.14,2,5,0.554727143
3214,5.27,3,4,0.394435231
3214,5.54,3,4,0.336664099
3214,10.37,2,5,0.552554316
3215,0.51,1,4,0.715425547
3215,0.56,2,2,0.619805771
3215,0.567,3,1,0.367372865
3215,0.567,3,5,0.478251983
3215,0.6,1,1,0.555398059
3215,0.63,2,1,0.690914834
3215,0.667,3,4,0.441424312
3215,0.7,3,4,0.282768202
3215,0.71,2,4,0.338250994
3215,0.8,2,2,0.513091393
3215,0.801,1,4,0.718557607
3215,0.86,1,2,0.458114129
3215,0.87,1,5,0.519755875
3215,0.87,2,1,0.635653555
3215,0.967,1,5,0.366703918
3215,1,3,5,0.461208883
3215,1,1,5,0.710186797
3215,1.001,3,5,0.488326679
3215,1.001,1,3,0.351501871
3215,1.01,3,2,0.704690329
3215,1.04,1,1,0.463596685
3215,1.07,2,1,0.499824208
3215,1.13,2,5,0.590200372
3215,1.13,2,5,0.343446092
3215,1.134,1,4,0.593951126
3215,1.14,2,4,0.459537927
3215,1.17,1,5,0.258694339
3215,1.2,3,2,0.683629251
3215,1.2,2,3,0.482620759
3215,1.27,3,4,0.49069299
3215,1.36,2,5,0.386732892
3215,1.4,3,4,0.567967139
3215,1.47,1,5,0.491269725
3215,1.53,2,3,0.440117789
3215,1.71,3,3,0.599975176
3215,1.868,3,5,0.608020297
3215,2.04,1,4,0.400600538
3215,2.07,1,4,0.585021254
3215,2.17,2,3,0.589078092
3215,2.2,2,5,0.682233732
3215,2.2,3,5,0.509460138
3215,2.21,1,4,0.535191594
3215,2.27,2,5,0.674727482
3215,2.34,1,5,0.420400885
3215,2.57,3,4,0.317362223
3215,2.66,3,4,0.430652006
3215,2.67,3,5,0.401567734
3215,2.71,2,5,0.227474795
3215,2.73,2,5,0.497727732
3215,2.936,2,4,0.447645234
3215,2.94,1,5,0.437765694
3215,2.97,3,4,0.604699227
3215,3,2,3,0.591540512
3215,3.071,1,5,0.274031565
3215,3.27,3,5,0.607218516
3215,3.37,1,4,0.623356186
3215,3.37,2,5,0.525328484
3215,3.47,2,5,0.580287373
3215,3.54,2,5,0.532767103
3215,3.57,1,5,0.59040602
3215,3.604,3,5,0.525567641
3215,3.637,2,5,0.358060916
3215,3.87,1,5,0.531944099
3215,3.87,1,5,0.518967462
3215,3.937,3,5,0.392623043
3215,3.97,3,5,0.38394933
3215,4.204,3,5,0.369078576
3215,4.4,3,5,0.399377744
3215,4.44,3,5,0.392239148
3215,4.91,3,5,0.623986977
3215,5.37,2,5,0.412934855
3215,5.64,1,5,0.746073869
3215,6.01,1,5,0.472156637
3215,6.106,3,5,0.645329617
3215,6.11,1,5,0.285366238
3215,7.07,3,5,0.517859368
3215,7.17,1,5,0.533760463
3215,7.28,2,5,0.371362732
3215,11.91,3,5,0.540747909
3220,0.5,3,3,0.499886475
3220,0.5,2,5,0.618011654
3220,0.5,3,1,0.601122125
3220,0.533,3,1,0.499341488
3220,0.533,1,4,0.499197503
3220,0.56,2,3,0.448236068
3220,0.56,2,4,0.43368303
3220,0.567,1,2,0.429550809
3220,0.57,2,2,0.475121346
3220,0.57,1,1,0.395650183
3220,0.6,3,2,0.398507143
3220,0.63,2,2,0.697653242
3220,0.63,3,2,0.589378807
3220,0.633,1,4,0.296777132
3220,0.633,2,4,0.410820134
3220,0.7,3,2,0.422048505
3220,0.73,3,1,0.525686135
3220,0.73,2,1,0.570750907
3220,0.77,3,5,0.487477947
3220,0.8,2,4,0.420232288
3220,0.8,2,2,0.448607583
3220,0.8,3,2,0.334034113
3220,0.833,1,2,0.513014248
3220,0.87,2,2,0.348660369
3220,0.9,2,2,0.315170628
3220,0.93,2,5,0.372267328
3220,0.93,2,1,0.613194706
3220,0.967,2,1,0.391512098
3220,0.967,2,1,0.306801156
3220,0.97,2,1,0.61738974
3220,1,1,3,0.470803743
3220,1,2,5,0.521516959
3220,1.03,3,1,0.577862075
3220,1.033,2,1,0.702018497
3220,1.034,3,2,0.617287293
3220,1.067,2,1,0.551887005
3220,1.07,3,2,0.363409613
3220,1.07,2,3,0.648458594
3220,1.13,1,2,0.369477426
3220,1.16,2,5,0.623279945
3220,1.2,2,2,0.300642361
3220,1.23,3,2,0.543994004
3220,1.23,1,1,0.520703256
3220,1.23,3,1,0.396341403
3220,1.233,2,2,0.272724438
3220,1.27,2,2,0.322136463
3220,1.3,3,2,0.547280316
3220,1.33,2,3,0.350485432
3220,1.33,2,5,0.481932485
3220,1.33,2,4,0.576004406
3220,1.34,3,2,0.656999403
3220,1.37,1,2,0.51435926
3220,1.4,1,5,0.745499466
3220,1.47,1,5,0.299895102
3220,1.5,1,5,0.631323468
3220,1.54,3,3,0.4206179
3220,1.63,2,2,0.315807794
3220,1.77,2,4,0.419580972
3220,1.83,3,2,0.494983811
3220,1.867,1,4,0.436160392
3220,1.9,2,2,0.511937741
3220,1.93,3,4,0.548316971
3220,2.07,1,3,0.332969069
3220,2.3,1,5,0.312656092
3220,2.3,3,5,0.347256948
3220,2.6,3,5,0.441401827
3220,2.77,2,5,0.74586108
3220,2.967,3,3,0.591585073
3220,3.1,3,5,0.406641352
3220,3.1,3,5,0.578268859
3220,3.3,1,5,0.559466405
3220,3.33,2,5,0.685911324
3220,3.34,2,5,0.438283216
3220,3.5,1,5,0.434644914
3220,3.5,1,5,0.405153116
3220,3.934,3,5,0.626918407
3220,4.13,1,5,0.626150449
3220,4.16,2,5,0.470112661
3220,4.3,3,4,0.580177036
3220,4.433,3,5,0.47802952
3220,4.46,1,5,0.482464125
3220,7.04,1,5,0.393213
3220,7.4,3,5,0.433140362
3220,7.8,1,5,0.346271034
3220,8.2,2,4,0.455999367
3220,9.667,3,5,0.369304463
7106,0.6,2,1,0.482022796
7106,0.6,2,5,0.452334441
7106,0.67,1,2,0.400779944
7106,0.7,3,1,0.509650179
7106,0.733,3,4,0.632847007
7106,0.8,1,1,0.494817361
7106,0.87,1,5,0.786947778
7106,0.9,2,5,0.486671838
7106,1.03,3,1,0.492747557
7106,1.03,2,1,0.565920029
7106,1.03,3,5,0.619196155
7106,1.1,2,1,0.528806929
7106,1.13,1,2,0.525948873
7106,1.14,3,2,0.671196852
7106,1.16,2,3,0.442066878
7106,1.2,1,5,0.56625451
7106,1.26,2,3,0.477319214
7106,1.5,3,4,0.237238373
7106,1.6,2,5,0.571751625
